英文,中文,音标,词性
apple,苹果,/ˈæpəl/,n.
banana,香蕉,/bəˈnɑːnə/,n.
orange,橙子,/ˈɒrɪndʒ/,n.
pear,梨,/peə/,n.
peach,桃子,/piːtʃ/,n.
grape,葡萄,/ɡreɪp/,n.
lemon,柠檬,/ˈlemən/,n.
mango,芒果,/ˈmæŋɡəʊ/,n.
watermelon,西瓜,/ˈwɔːtəmelən/,n.
strawberry,草莓,/ˈstrɔːbəri/,n.
cherry,樱桃,/ˈtʃeri/,n.
pineapple,菠萝,/ˈpaɪnæpəl/,n.
onion,洋葱,/ˈʌnjən/,n.
carrot,胡萝卜,/ˈkærət/,n.
potato,土豆,/pəˈteɪtəʊ/,n.
tomato,西红柿,/təˈmɑːtəʊ/,n.
cabbage,卷心菜,/ˈkæbɪdʒ/,n.
lettuce,生菜,/ˈletɪs/,n.
corn,玉米,/kɔːn/,n.
bean,豆子,/biːn/,n.
rice,米饭,/raɪs/,n.
bread,面包,/bred/,n.
noodle,面条,/ˈnuːdəl/,n.
egg,鸡蛋,/eɡ/,n.
milk,牛奶,/mɪlk/,n.
cheese,奶酪,/tʃiːz/,n.
butter,黄油,/ˈbʌtə/,n.
meat,肉,/miːt/,n.
beef,牛肉,/biːf/,n.
pork,猪肉,/pɔːk/,n.
chicken,鸡肉,/ˈtʃɪkɪn/,n.
fish,鱼,/fɪʃ/,n.
soup,汤,/suːp/,n.
salad,沙拉,/ˈsæləd/,n.
sandwich,三明治,/ˈsænwɪdʒ/,n.
cake,蛋糕,/keɪk/,n.
cookie,曲奇饼,/ˈkʊki/,n.
chocolate,巧克力,/ˈtʃɒklət/,n.
sugar,糖,/ˈʃʊɡə/,n.
flour,面粉,/ˈflaʊə/,n.
salt,盐,/sɔːlt/,n.
pepper,胡椒粉,/ˈpepə/,n.
honey,蜂蜜,/ˈhʌni/,n.
water,水,/ˈwɔːtə/,n.
tea,茶,/tiː/,n.
coffee,咖啡,/ˈkɒfi/,n.
juice,果汁,/dʒuːs/,n.
breakfast,早餐,/ˈbrekfəst/,n.
lunch,午餐,/lʌntʃ/,n.
dinner,晚餐,/ˈdɪnə/,n.
cat,猫,/kæt/,n.
dog,狗,/dɒɡ/,n.
rabbit,兔子,/ˈræbɪt/,n.
mouse,老鼠,/maʊs/,n.
horse,马,/hɔːs/,n.
cow,奶牛,/kaʊ/,n.
sheep,绵羊,/ʃiːp/,n.
goat,山羊,/ɡəʊt/,n.
pig,猪,/pɪɡ/,n.
duck,鸭子,/dʌk/,n.
hen,母鸡,/hen/,n.
bird,鸟,/bɜːd/,n.
parrot,鹦鹉,/ˈpærət/,n.
eagle,鹰,/ˈiːɡəl/,n.
owl,猫头鹰,/aʊl/,n.
lion,狮子,/ˈlaɪən/,n.
tiger,老虎,/ˈtaɪɡə/,n.
elephant,大象,/ˈelɪfənt/,n.
monkey,猴子,/ˈmʌŋki/,n.
panda,熊猫,/ˈpændə/,n.
bear,熊,/beə/,n.
fox,狐狸,/fɒks/,n.
wolf,狼,/wʊlf/,n.
deer,鹿,/dɪə/,n.
zebra,斑马,/ˈzebrə/,n.
giraffe,长颈鹿,/dʒəˈrɑːf/,n.
kangaroo,袋鼠,/ˌkæŋɡəˈruː/,n.
dolphin,海豚,/ˈdɒlfɪn/,n.
whale,鲸,/weɪl/,n.
shark,鲨鱼,/ʃɑːk/,n.
turtle,龟,/ˈtɜːtəl/,n.
snake,蛇,/sneɪk/,n.
frog,青蛙,/frɒɡ/,n.
butterfly,蝴蝶,/ˈbʌtəflaɪ/,n.
bee,蜜蜂,/biː/,n.
ant,蚂蚁,/ænt/,n.
spider,蜘蛛,/ˈspaɪdə/,n.
insect,昆虫,/ˈɪnsekt/,n.
feather,羽毛,/ˈfeðə/,n.
tail,尾巴,/teɪl/,n.
head,头,/hed/,n.
hair,头发,/heə/,n.
face,脸,/feɪs/,n.
eye,眼睛,/aɪ/,n.
ear,耳朵,/ɪə/,n.
nose,鼻子,/nəʊz/,n.
mouth,嘴,/maʊθ/,n.
tooth,牙齿,/tuːθ/,n.
tongue,舌头,/tʌŋ/,n.
neck,脖子,/nek/,n.
shoulder,肩膀,/ˈʃəʊldə/,n.
arm,手臂,/ɑːm/,n.
hand,手,/hænd/,n.
finger,手指,/ˈfɪŋɡə/,n.
leg,腿,/leɡ/,n.
knee,膝盖,/niː/,n.
foot,脚,/fʊt/,n.
toe,脚趾,/təʊ/,n.
heart,心脏,/hɑːt/,n.
back,背部,/bæk/,n.
family,家庭,/ˈfæməli/,n.
father,父亲,/ˈfɑːðə/,n.
mother,母亲,/ˈmʌðə/,n.
parent,父亲或母亲,/ˈpeərənt/,n.
